Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Google_Index,count_dot,count_www,count_per,count_ques,count_hyphen,count_equal,Label
chaseoip.gotdns.ch,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,1,3,0,0,1,1,3,1
allegro.pl,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,8,0,0
tweedy-light.000webhostapp.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,0,1
allegro.pl,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,2,0,0,0,9,0,0
bcpzonsaegrua1betaviabcpcom.kisslomejorenjoyas.com,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,1,0,1
allegro.pl,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,6,1,0
nhsmaintenance.weebly.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1
allegro.pl,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,6,1,0
betasusgiri.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
allegro.pl,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,9,0,0
betasusgiri.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
allegro.pl,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,7,0,0
zaborkursk.ru,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1
allegro.pl,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,7,0,0
zaborkursk.ru,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1
allrecipes.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,1,1,2,0,0,1,2,2,0
chaseoip.gotdns.ch,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,1,3,0,0,1,1,3,1
allrecipes.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,1,1,2,0,0,1,3,1,0
chaseoip.gotdns.ch,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,1,3,0,0,1,1,3,1
allrecipes.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,1,1,2,0,0,1,2,2,0
chaseoip.gotdns.ch,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,1,3,0,0,1,1,1,1
allrecipes.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,1,1,2,0,0,1,1,2,0
nhomkinhlongxuyen.com,0,0,1,8,0,0,0,0,1,1,1,1,1,1,1,1,1,6,0,0,1,2,2,1
allrecipes.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,1,1,2,0,0,1,2,1,0
staging.theelegantyou.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,1,3,0,0,0,3,0,1
allrecipes.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,1,1,2,0,0,1,3,1,0
rinder.com.ar,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,5,0,0,1,2,2,1
allrecipes.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,1,1,2,0,0,1,1,2,0
xiangmushizhi.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1,2,0,0,1,1,3,1
allrecipes.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1,1,2,0,0,1,2,1,0
wezcollege.edu.pe,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1,4,1,0,0,1,0,1
allrecipes.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1,1,2,0,0,1,2,1,0
kadubeureum-serang.desa.id,0,1,1,7,0,0,0,1,0,1,0,1,0,0,1,0,1,4,0,0,1,2,1,1
allrecipes.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1,1,2,0,0,1,1,1,0
kadubeureum-serang.desa.id,0,1,1,7,0,0,0,1,0,1,0,1,0,0,1,0,1,4,0,0,1,2,1,1
anandtech.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,10,0,0
hoysalacreations.com,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,4,0,1
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,10,0,0
friendlycabdavis.com,0,0,1,8,0,0,0,0,0,1,1,1,0,0,1,0,1,2,0,0,0,1,0,1
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,8,0,0
inversionesgini.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,1,1,1,1
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,9,0,0
inversionesgini.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,1,1,1,1
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,9,0,0
davidforrest.org,0,1,1,4,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,2,1,3,1
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,10,0,0
sribaladayanidhi.org,0,1,1,6,0,0,1,0,0,1,1,1,1,1,1,1,1,4,1,0,1,1,1,1
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,9,0,0
u1047531.cp.regruhosting.ru,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0,0,0,3,0,1
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,9,0,0
ncubedd.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,9,0,0
peringatan-pemblokiran-akun04.webnode.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,2,0,0,0,2,0,1
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,10,0,0
kuurid.ee,0,0,1,5,0,0,0,0,0,1,1,1,1,1,1,1,1,7,0,0,0,0,0,1
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,7,0,0
fb-recovery-10000076927-it.tk,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,2,0,0,0,3,0,1
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,7,0,0
fb-recovery-10000076928-it.tk,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,2,0,0,0,3,0,1
archiveofourown.org,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,5,0,1,0,0
fb-recovery-10000076929-it.tk,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,2,0,0,0,3,0,1
askubuntu.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,7,0,0
fb-recovery-10000076934-it.tk,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,2,0,0,0,3,0,1
askubuntu.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,8,0,0
fb-recovery-10000076933-it.tk,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,2,0,0,0,3,0,1
askubuntu.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,8,0,0
fb-recovery-10000076930-it.tk,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,2,0,0,0,3,0,1
askubuntu.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,7,0,0
fb-recovery-10000076931-it.tk,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,2,0,0,0,3,0,1
askubuntu.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,7,0,0
fb-recovery-10000076932-it.tk,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,2,0,0,0,3,0,1
askubuntu.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,7,0,0
ml09903.xyz,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
askubuntu.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,8,0,0
serviceenligneverificationbp.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
atwiki.jp,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,19,0,0,0,0
alienwebwa.000webhostapp.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,3,0,0,0,0,0,1
avxhome.se,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0
joingrupbkp16-6666.000webhostapp.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,3,0,0,0,1,0,1
babal.net,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,1,2,0,0,0,10,0,0
grupbokepkoreahot78.000webhostapp.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,3,0,0,0,0,0,1
babal.net,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,18,0,1,0,0
faceprofilephotogroups.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1
bdnews24.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,5,0,0
hotgrupdewasa-wa.000webhostapp.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,3,0,0,0,1,0,1
bdnews24.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,6,0,0
link-masuk-grup-bokep-terbaru-kk.000webhostapp.com,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,3,0,0,0,5,0,1
bdnews24.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,6,0,0
intesagruppoisp-web.000webhostapp.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,0,1
bdnews24.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,6,0,0
azrecpsrt.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1
bdnews24.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,6,0,0
faceb-support.000webhostapp.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,0,1
bdnews24.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,7,0,0
grub-memek-kontol10.000webhostapp.com,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,3,0,0,0,2,0,1
bdnews24.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,7,0,0
group-18pluss-terbaru-2020.000webhostapp.com,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,3,0,0,0,3,0,1
bdnews24.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,8,0,0
dankpogs.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1
bdnews24.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,7,0,0
mediolanum-web.000webhostapp.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,0,1
bestblackhatforum.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,2,3,0
flo14.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1
bestblackhatforum.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,7,1,0
league0flegends0lgz3m.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1
bestblackhatforum.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,5,1,0
serviceenligneverificationbp.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
bestblackhatforum.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,5,1,0
pmm.ac.in,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0,1,6,1,0,1,1,0,1
bgr.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,7,0,0
registrobnwebplataforma.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
bigcinema.tv,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1,1,2,0,0,0,11,0,0
betasusorjinals.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
bigcinema.tv,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1,1,2,0,0,0,8,0,0
betasusorjinals.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
bigcinema.tv,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1,1,2,0,0,0,6,0,0
attivazionedecreto.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1
bleacherreport.com,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,9,0,0
league0flegends0msj86.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1
bmi.ir,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0
bitopro-claim-btc2020.000webhostapp.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,2,0,1
bongda88.info,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,13,0,0
web-psd2-group.000webhostapp.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,2,0,1
bongda88.info,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,10,0,0
fbcontainment.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1
bongda88.info,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,12,0,0
tweedy-light.000webhostapp.com,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,4,1,0,1,4,3,1
bongda88.info,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,12,0,0
tweedy-light.000webhostapp.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,0,1
bongda88.info,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,14,0,0
dtghsf.lfjn3a.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1
caixa.gov.br,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1,1,2,0,0,0,2,0,0
azrecpsrt.000webhostapp.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,3,0,0,0,0,0,1
caixa.gov.br,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,1,1,2,0,0,1,1,2,0
heeressport.at,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,1,2,1,0,0,0,0,1
caixa.gov.br,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,1,1,3,0,2,1,0,1,0
zxe32szefr3.000webhostapp.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,3,0,0,0,0,0,1
caixa.gov.br,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,1,1,3,0,0,0,3,0,0
gshkls.godaddysites.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
caixa.gov.br,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,1,1,2,0,0,1,2,2,0
btcconv.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
censor.net.ua,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0
attttinmnwgyyatt.weebly.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1
censor.net.ua,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0
mythreehelp.co.uk,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1
censor.net.ua,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0
ama-zon.huananshangcheng.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,0,1
cheezburger.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,3,2,0
xn--trtkatkpay-3ubd.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,0,1
clien.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,3,0,5,1,0,1,0
foxlap.com,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,1,2,3,1
clien.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,3,0,5,1,0,1,0
foxlap.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
clien.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,3,0,5,1,0,1,0
camadanyapimalzemeleri.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
codecanyon.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,5,0,0
3965207478e6a58f7c87af5d49a0c165.webredirect.org,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1
codecanyon.net,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,3,0,0
paypalverifycentral.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
codecanyon.net,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,3,0,0
paypalverifycentral.com,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2,1
codecanyon.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,4,0,0
lowmanids.buzz,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
codecanyon.net,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,3,0,0
lowmanids.buzz,0,0,1,5,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,1,1,3,1
codecanyon.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,5,0,0
jlgraphic.fr,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
codecanyon.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,5,0,0
jlgraphic.fr,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,1,2,3,1
codecanyon.net,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,3,0,0
heeressport.at,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,2,1,0,0,0,0,1
codecanyon.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,6,0,0
yourecofamily.com,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
codecanyon.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,5,0,0
yourecofamily.com,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,3,1
codecanyon.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,7,0,0
serviceenligneverificationbp.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
codecanyon.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,6,0,0
serviceenligneverificationbp.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
codecanyon.net,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,4,0,0
sparkpassedecom.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
codecanyon.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,6,0,0
sparkpassedecom.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
codecanyon.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,5,0,0
xn--sparkass-i1a.connect-1412.de,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,4,0,1
comicbook.com,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,9,0,0
xn--sparkass-i1a.connect-1412.de,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,4,0,1
correios.com.br,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,5,0,0
xn--sparkass-i1a.connect-1412.de,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,4,0,1
correios.com.br,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,3,0,0
avaceklpterms.ga,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,1,0,1,1
correios.com.br,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,5,0,0
avaceklpterms.ga,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1
correios.com.br,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,4,0,0
firebasestorage.googleapis.com,0,1,1,5,0,0,1,0,1,1,1,1,0,0,1,0,1,6,0,0,1,5,2,1
correios.com.br,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,4,0,0
betasussgir.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
correios.com.br,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,5,0,0
betasussgir.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
correios.com.br,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,4,0,0
alphabetic-custody.000webhostapp.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,0,1
